Source.Name,Cell.Type,GEO_Accession (exp),sex,Strain,Dir
SRR2727045,ES2i,GSM1911848,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727045/SRR2727045_Aligned.sortedByCoord.out.bam
SRR2727046,ES2i,GSM1911849,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727046/SRR2727046_Aligned.sortedByCoord.out.bam
SRR2727047,ES2i,GSM1911850,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727047/SRR2727047_Aligned.sortedByCoord.out.bam
SRR2727048,ES2i,GSM1911851,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727048/SRR2727048_Aligned.sortedByCoord.out.bam
SRR2727049,ES2i,GSM1911852,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727049/SRR2727049_Aligned.sortedByCoord.out.bam
SRR2727050,ES2i,GSM1911853,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727050/SRR2727050_Aligned.sortedByCoord.out.bam
SRR2727051,ES2i,GSM1911854,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727051/SRR2727051_Aligned.sortedByCoord.out.bam
SRR2727052,ES2i,GSM1911855,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727052/SRR2727052_Aligned.sortedByCoord.out.bam
SRR2727053,ES2i,GSM1911856,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727053/SRR2727053_Aligned.sortedByCoord.out.bam
SRR2727054,ES2i,GSM1911857,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727054/SRR2727054_Aligned.sortedByCoord.out.bam
SRR2727055,ES2i,GSM1911858,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727055/SRR2727055_Aligned.sortedByCoord.out.bam
SRR2727056,ES2i,GSM1911859,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727056/SRR2727056_Aligned.sortedByCoord.out.bam
